artist,song,album,genre,BPM,speed,mood,tags,quotes
2Baba,Amaka,,Naija Hip-Hop,,,,,
Adekunle Gold,Okay,,Naija Hip-Hop,,,,,
Bella Shmurda; Zlatan,Cashapp,,Naija Hip-Hop,,,,,
Bracket,Celebrate,,Naija Hip-Hop,,,,,"""I celebrate.. no time to complain!"""
Bracket,Panya,,Naija Hip-Hop,,,,,"""I'm singing this song for Panya""; ""Oyah what is my baby name?"""
Bracket; Flavour,Beautiful Baby,,Naija Hip-Hop,,,,,"My beautiful baby oo.. as I love you I hope you love me too"""
Burna Boy,23,,Naija Hip-Hop,,,,,
Burna Boy,Anybody,,Naija Hip-Hop,,,,,
Burna Boy,Bank On It,,Naija Hip-Hop,,,,,
Burna Boy,Kilometre,,Naija Hip-Hop,,,,,
Burna Boy,On The Low,,Naija Hip-Hop,,,,,
Burna Boy,Ye,,Naija Hip-Hop,90,slow,chill,intro,
Chike,If You No Love,,Naija Hip-Hop,,,,,
Chike,Roju,,Naija Hip-Hop,,,,,
Chike,Running To You,,Naija Hip-Hop,,,,,
Chris Morgan,Original Love,,Naija Gospel,,,,,
Dammy Krane,Shaku Shaku,,Naija Hip-Hop,,,,,
Davido,Aye,,Naija Hip-Hop,82.8,slow,love,romantic; dance; party; favorites,
Davido,Fem,,Naija Hip-Hop,,,,,
Davido,Wonder Woman,,Naija Hip-Hop,120,medium,romantic,chill; beginning of party; love-making,
Davido,All Of You,,Naija Hip-Hop,,,,,
Davido,Back When,,Naija Hip-Hop,,,,,
Davido,Video,,Naija Hip-Hop,,,,,
Davido,Ekuro,,Naija Hip-Hop,,,,,
Davido,No Visa,,Naija Hip-Hop,,,,,
Davido,Dami Duro,,Naija Hip-Hop,,,,,
Davido,Gbon Gbon,,Naija Hip-Hop,,,,,
Davido,Assurance,,Naija Hip-Hop,,,,,
Davido,Coolest Kid in Africa,,Naija Hip-Hop,,,,,
Davido,Dodo,,Naija Hip-Hop,,,,,
Davido,Fall,,Naija Hip-Hop,,,,,
Davido,Fia,,Naija Hip-Hop,,,,,
Davido,Owo Ni Koko,,Naija Hip-Hop,,,,,
Davido,Skelewu,,Naija Hip-Hop,,,,,
Davido,If,,Naija Hip-Hop,,,,,
Davido,Gobe,,Naija Hip-Hop,,,,,
Davido; Mayor Dagunro,Look My Face,,Naija Hip-Hop,,,,,
Davido; Olamide,The Money,,Naija Hip-Hop,,,,,
Davido; Uhuru,The Sound,,Naija Hip-Hop,,,,,
Diamond Platinumz; Flavour,Nana,,Naija Hip-Hop,,,,,
DJ Kaywise,High Way,,Naija Hip-Hop,,,,,
DJ Spinall; Davido; Wande Coal,Olowo,,Naija Hip-Hop,,,,,
DMW,Prayer,,Naija Hip-Hop,,,,,
Firebody DML,Tattoo,,Naija Hip-Hop,,,,,
Flavour,Awele,,Naija Hip-Hop,,,,,
Flavour,Baby Na Yoka,,Naija Hip-Hop,,,,,
Flavour,Baby Oku (Dance),,Naija Hip-Hop,,,,,
Flavour,Carolina,,Naija Hip-Hop,,,,,
Flavour,Chimamanda,,Naija Gospel,,,,,
Flavour,Dance,,Naija Hip-Hop,,,,,
Flavour,Doings,,Naija Hip-Hop,,,,,
Flavour,Egwu,,Naija Hip-Hop,,,,,
Flavour,Ife Adogimma,,Naija Hip-Hop,,,,,
Flavour,Low Waist,,Naija Hip-Hop,,,,,
Flavour,Nwa Baby (Remix),,Naija Hip-Hop,,,,,
Flavour,Sexy Rosey,,Naija Hip-Hop,,,,,
Flavour,Shake,,Naija Hip-Hop,,,,,
Flavour,Osondi Owendi,,Naija Hip-Hop,,,,,
Flavour,Ada Ada,,Naija Hip-Hop,,,,,
Flavour,Adamma,,Naija Hip-Hop,,,,,
Flavour,Ashawo,,Naija Hip-Hop,,,,,
Gyptian,Hold Yuh,,Naija Hip-Hop,,,,,
Hagman,Focus,,Naija Hip-Hop,,,,,
Humblesmith,Osinachi,,Naija Hip-Hop,,,,,
Humblesmith; Davido,Osinachi (remix),,Naija Hip-Hop,,,,,
Iyanya,Gift,,Naija Hip-Hop,,,,,
Iyanya,Up 2 Sumthin',,Naija Hip-Hop,,,,,
Kizz Daniel,Mama,,Naija Hip-Hop,,,,,
Kizz Daniel,Nesesari,,Naija Hip-Hop,,,,,
Kizz Daniel,One Ticket,,Naija Hip-Hop,,,,,
Kopoke,Kayana,,Naija Hip-Hop,,,,,
Lil Kesh; Davido; Olamide,Shoki (remix),,Naija Hip-Hop,,,,,
Logiq,Protection,,Naija Hip-Hop,,,,,
Masterkraft,Hallelu,,Naija Hip-Hop,,,,,
Mavins,Adaobi,,Naija Hip-Hop,,,,,
Mavins,Dorobucci,,Naija Hip-Hop,,,,,
Mayorkun,Mama,,Naija Hip-Hop,,,,,
Mayorkun,True ,,Naija Hip-Hop,,,,,
MC Galaxy,Nek Unek,,Naija Hip-Hop,,,,,
MC Galaxy,Sekem,,Naija Hip-Hop,,,,,
MI; Flavour,Africa Rapper Number 1,,Naija Hip-Hop,,,,,
Mystro; Davido,Issa Vibe,,Naija Hip-Hop,,,,,
Naira Marley,Koleyewon,,Naija Hip-Hop,,,,,
Naira Marley,Tesumole,,Naija Hip-Hop,,,,,
Niniola,Sicker,,Naija Hip-Hop,,,,,
Olakira; Davido,In My Maserati,,Naija Hip-Hop,130,fast,baller,dance; party; rich; balling; living it up,
Olamide,Bobo,,Naija Hip-Hop,,,,,
Olamide,Don't Stop,,Naija Hip-Hop,,,,,
Olamide,Infinity,,Naija Hip-Hop,,,,,
Olamide,Motigbana,,Naija Hip-Hop,,,,,
Olamide,Wo,,Naija Hip-Hop,,,,,
Omah Lay,Godly,,Naija Hip-Hop,,,,,
Oreke,E Kelly,,Naija Hip-Hop,,,,,
P Square,Bunieya Enu,,Naija Hip-Hop,,,,,
P Square,Do Me,,Naija Hip-Hop,,,,,
P Square,Testimony,,Naija Hip-Hop,,,,,
Patoranking,Abule,,Naija Hip-Hop,,,,,
Peruzzi,Southy Love,,Naija Hip-Hop,120,fast,love,dance; party; love-making,
Phyno,Connect,,Naija Hip-Hop,,,,,
Phyno,Fada Fada,,Naija Hip-Hop,,,,,
Phyno,SFSG,,Naija Hip-Hop,,,,,
Reekado Banks,Like,,Naija Hip-Hop,,,,,
Rema,Dumebi,,Naija Hip-Hop,,,,,
Rema,Ginger Me,,Naija Hip-Hop,,,,,
Rema,Too Correct,,Naija Hip-Hop,,,,,
Rema,Woman,,Naija Hip-Hop,,,,,
Rexxie Mohbad,KPK,,Naija Hip-Hop,,,,,
Rotimo; Mystro,Surrenda,,Naija Hip-Hop,114,medium,romantic,dance; party,
Rudeboy,Fire Fire,,Naija Hip-Hop,,,,,
Ruger,Bounce,,Naija Hip-Hop,,,,,
Runtown,Walahi,,Naija Hip-Hop,,,,,
Runtown; Davido,Gallardo,,Naija Hip-Hop,,,,,
Selebobo; Davido,Waka Waka,,Naija Hip-Hop,,,,,
Simi,Duduke,,Naija Hip-Hop,,,,,
Skiibii,Are You Vhere,,Naija Hip-Hop,,,,,
Tarrus Riley,Royal,,Naija Hip-Hop,,,,,
Tekno,Dance,,Naija Hip-Hop,,,,,
Tekno,Enjoy,,Naija Hip-Hop,,,,,
Tekno,Pana,,Naija Hip-Hop,,,,,
Tekno,Puttin,,Naija Hip-Hop,,,,,
Timaya,Balance,,Naija Hip-Hop,,,,,
Timaya,Bang Bang,,Naija Hip-Hop,,,,,
Timaya,Don Dada,,Naija Hip-Hop,,,,,
Timaya,Kom Kom,,Naija Hip-Hop,,,,,
Timaya,Sanko,,Naija Hip-Hop,,,,,
Timaya,Telli Person,,Naija Hip-Hop,,,,,
Timaya; Davido,Kekwanu,,Naija Hip-Hop,,,,,
Timaya; Don Jazzy,I Concur,,Naija Hip-Hop,,,,,
Timi Dakola,Amen,,Naija Gospel,,,,,
