artist,song,album,genre,BPM,speed,mood,tags,quotes
2Baba,Amaka,,Naija Hip-Hop,,,,,"""Amaka..."""
Adekunle Gold,Okay,,Naija Hip-Hop,,,,,
Bella Shmurda; Zlatan,Cashapp,,Naija Hip-Hop,,,,,
Bracket,Celebrate,,Naija Hip-Hop,,,,,"""I celebrate.. no time to complain!"""
Bracket,Panya,,Naija Hip-Hop,,,,,"""I'm singing this song for Panya""; ""Oyah what is my baby name?"""
Bracket; Flavour,Beautiful Baby,,Naija Hip-Hop,,,,,"My beautiful baby oo.. as I love you I hope you love me too"""
Brenda Fassie,Vulindlela,,Africa Old School,105.96,,,,
Burna Boy,23,,Naija Hip-Hop,,,,,
Burna Boy,Anybody,,Naija Hip-Hop,,,,,
Burna Boy,Bank On It,,Naija Hip-Hop,,,,,
Burna Boy,Kilometre,,Naija Hip-Hop,,,,,
Burna Boy,On The Low,,Naija Hip-Hop,,,,,"""Angelly, Angelina..""; ""You cool my temperature"""
Burna Boy,Ye,,Naija Hip-Hop,90,slow,chill,intro,
Burna Boy,Onyeka (Baby),,Naija Hip-Hop,,,,,"""I say my baby, my baby oo, osondi owendi oo"""
Chike,If You No Love,,Naija Hip-Hop,,,,,
Chike,Roju,,Naija Hip-Hop,,,,,
Chike,Running To You,,Naija Hip-Hop,,,,,
Chris Morgan,Original Love,,Naija Gospel,,,,,
D-Black; Sarkodie; Singlet,OMEGA,,Naija Hip-Hop,112.08,,,,"""Jehovah is so great""; ""Alpha is so great""; ""Omega is so great"""
Dammy Krane,Shaku Shaku,,Naija Hip-Hop,,,,,
Danny Glover; 2Pac,A River That Flows Forever,,Soulful,,,,,"""The river will flow forever.. as long as you are with me."""
Danny Lerman,No Ordinary Love,,Smooth Jazz,111.52,,,instrumental,"""This is no ordinary love.."""
Davido,Aye,,Naija Hip-Hop,82.8,slow,love,romantic; dance; party; favorites,"""She no want designer, she no want Ferrari, she says am my love ohh..""; ""You belong to mee.."""
Davido,Fem,,Naija Hip-Hop,,,,,
Davido,Wonder Woman,,Naija Hip-Hop,120,medium,romantic,chill; beginning of party; love-making,"""You no dey fear face oohh""; ""Abi you talk craze oh"""
Davido,All Of You,,Naija Hip-Hop,,,,,
Davido,Back When,,Naija Hip-Hop,,,,,
Davido,Video,,Naija Hip-Hop,,,,,
