artist,song,genre,BPM,speed,mood,tags,quotes
Peruzzi,Southy Love,Naija Hip-Hop,120,fast,love,dance; party; love-making,
Davido,Wonder Woman,Naija Hip-Hop,120,medium,romantic,chill; beginning of party; love-making,
"Olakira, Davido",In My Maserati,Naija Hip-Hop,130,fast,baller,dance; party; rich; balling; living it up,
Burna Boy,Ye,Naija Hip-Hop,90,slow,chill,intro,
Rotimo; Mystro,Surrenda,Naija Hip-Hop,114,medium,romantic,romantic; dance; party,"""January February to December girl.. for your body I surrenda girl.."""
Toyin Ores,Feel the Same,Naija Hip-Hop,115,medium,sensual,dance; sensual; tease,"""I like the way you go go go b go low"""
Rema,Dumebi,Naija Hip-Hop,110,medium,chill,dance; chill; intro,
Davido,Aye,Naija Hip-Hop,82.8,slow,love,love; romantic; dance; party; favorites,
Simi,Duduke,Naija Hip-Hop,,,,,
Mayorkun,Mama,Naija Hip-Hop,,,,,
DMW,Prayer,Naija Hip-Hop,,,,,
Bracket,Panya,Naija Hip-Hop,,,,,
Niniola,Sicker,Naija Hip-Hop,,,,,
Hagman,Focus,Naija Hip-Hop,,,,,
Timi Dakola,Amen,Naija Gospel,,,,,
Chris Morgan,Original Love,Naija Gospel,,,,,
Flavour,Chimamanda,Naija Gospel,,,,,
Flavour,Doings,Naija Hip-Hop,,,,,
Masterkraft,Hallelu,Naija Hip-Hop,,,,,
MC Galaxy,Nek Unek,Naija Hip-Hop,,,,,
MC Galaxy,Sekem,Naija Hip-Hop,,,,,
Iyanya,Gift,Naija Hip-Hop,,,,,
Iyanya,Up 2 Sumthin',Naija Hip-Hop,,,,,
Olamide,Motigbana,Naija Hip-Hop,,,,,
Olamide,Don't Stop,Naija Hip-Hop,,,,,
Mayorkun,True ,Naija Hip-Hop,,,,,
Kizz Daniel,Mama,Naija Hip-Hop,,,,,
Kizz Daniel,One Ticket,Naija Hip-Hop,,,,,
Wizboyy,Salambala,Naija Hip-Hop,,,,,
